genres,imdb_score,movie_or_tv,rated,resp_stat,resp_url,rg_score,seasons,title,website,year_end,year_start
"comedy,musical",6.9,movie,All (G),200,https://reelgood.com/movie/gold-diggers-of-1935-1935,65,,Gold Diggers of 1935,HBO Max,,1935
"drama,romance,thriller,mystery,action-and-adventure",6.1,movie,18+ (R),200,https://reelgood.com/movie/the-russia-house-1990,65,,The Russia House,HBO Max,,1990
"animation,anime,action-and-adventure,fantasy,science-fiction",6.4,movie,13+ (PG-13),200,https://reelgood.com/movie/tales-from-earthsea-2006,65,,Tales from Earthsea,HBO Max,,2006
"action-and-adventure,fantasy,science-fiction,crime,drama,mystery,thriller",3.6,show,14+ (TV-14),200,https://reelgood.com/show/batwoman-2019,65,2,Batwoman,HBO Max,2020,2019
drama,7,movie,18+ (R),200,https://reelgood.com/movie/under-the-volcano-1984,65,,Under the Volcano,HBO Max,,1984
"comedy,independent,drama,mystery,thriller",6.9,movie,18+ (R),200,https://reelgood.com/movie/the-daytrippers-1996,65,,The Daytrippers,HBO Max,,1996
"animation,anime,action-and-adventure,drama,fantasy,mystery,science-fiction",8.1,show,7+ (TV-PG),200,https://reelgood.com/show/tower-of-god-2020,65,1,Tower of God,HBO Max,2020,2020
"drama,romance",6.7,movie,13+ (PG-13),200,https://reelgood.com/movie/regarding-henry-1991,65,,Regarding Henry,HBO Max,,1991
"comedy,drama,romance",6,movie,18+ (R),200,https://reelgood.com/movie/bridget-jones-the-edge-of-reason-2004,65,,Bridget Jones: The Edge of Reason,HBO Max,,2004
"crime,drama,thriller,mystery,action-and-adventure,comedy",8.8,show,18+ (TV-MA),200,https://reelgood.com/show/umbre-2014,65,3,Shadows,HBO Max,2020,2014
"drama,romance",6.7,movie,13+ (PG-13),200,https://reelgood.com/movie/sweet-november-2001,65,,Sweet November,HBO Max,,2001
documentary,6.2,movie,18+ (R),200,https://reelgood.com/movie/baltimore-rising-2017,65,,Baltimore Rising,HBO Max,,2017
"drama,romance",7.3,show,18+ (TV-MA),200,https://reelgood.com/show/tell-me-you-love-me-2007,65,1,Tell Me You Love Me,HBO Max,2007,2007
"comedy,drama,romance",6.2,movie,13+ (PG-13),200,https://reelgood.com/movie/jersey-girl-2004,65,,Jersey Girl,HBO Max,,2004
"crime,drama,thriller,mystery",6.3,movie,18+ (R),200,https://reelgood.com/movie/unlawful-entry-1992,65,,Unlawful Entry,HBO Max,,1992
"action-and-adventure,crime,drama,mystery,thriller",6.2,movie,18+ (R),200,https://reelgood.com/movie/ricochet-1991,65,,Ricochet,HBO Max,,1991
"comedy,drama",6.2,movie,7+ (PG),200,https://reelgood.com/movie/funny-farm-1988,65,,Funny Farm,HBO Max,,1988
"family,action-and-adventure,fantasy,drama",6,movie,7+ (PG),200,https://reelgood.com/movie/the-indian-in-the-cupboard-1995,65,,The Indian in the Cupboard,HBO Max,,1995
"comedy,action & adventure",6.4,movie,7+ (PG),200,https://reelgood.com/movie/spies-like-us-1985,65,,Spies Like Us,HBO Max,,1985
"comedy,drama",7.8,show,18+ (TV-MA),200,https://reelgood.com/show/getting-on-2013,65,3,Getting On,HBO Max,2015,2013
"crime,drama,thriller",6,movie,18+ (R),200,https://reelgood.com/movie/the-accused-2018,65,,Accused,HBO Max,,2018
"horror,thriller,mystery,drama",5.5,movie,18+ (R),200,https://reelgood.com/movie/unfriended-2015,65,,Unfriended,HBO Max,,2015
"action-and-adventure,drama,mystery,thriller",6.1,movie,18+ (R),200,https://reelgood.com/movie/eraser-1996,64,,Eraser,HBO Max,,1996
"drama,romance",6.3,movie,13+ (PG-13),200,https://reelgood.com/movie/message-in-a-bottle-1999,64,,Message in a Bottle,HBO Max,,1999
"drama,thriller,mystery",8.1,show,18+ (TV-MA),200,https://reelgood.com/show/the-honourable-woman-2014,64,1,The Honourable Woman,HBO Max,2014,2014
"drama,biography",7.9,movie,18+ (R),200,https://reelgood.com/movie/stuart-a-life-backwards-2007,64,,Stuart: A Life Backwards,HBO Max,,2007
"crime,drama,action-and-adventure,comedy",5.5,movie,13+ (PG-13),200,https://reelgood.com/movie/the-kitchen-2019,64,,The Kitchen,HBO Max,,2019
"horror,thriller,mystery",5.7,movie,18+ (R),200,https://reelgood.com/movie/a-nightmare-on-elm-street-4-the-dream-master-1988,64,,A Nightmare on Elm Street 4: The Dream Master,HBO Max,,1988
"comedy,fantasy",5.5,movie,13+ (PG-13),200,https://reelgood.com/movie/the-hot-chick-2002,64,,The Hot Chick,HBO Max,,2002
"comedy,fantasy,romance",6.1,movie,13+ (PG-13),200,https://reelgood.com/movie/teen-witch-1989,64,,Teen Witch,HBO Max,,1989
comedy,6.5,movie,18+ (R),200,https://reelgood.com/movie/clear-history-2013,64,,Clear History,HBO Max,,2013
"action-and-adventure,crime,drama,mystery,science-fiction",7.6,show,18+ (TV-MA),200,https://reelgood.com/show/dci-banks-2010,64,5,DCI Banks,HBO Max,2020,2011
"animation,action-and-adventure,fantasy,romance,science-fiction",6.7,show,18+ (TV-MA),200,https://reelgood.com/show/the-testament-of-sister-new-devil-2015,64,4,The Testament of Sister New Devil,HBO Max,2015,2015
"comedy,drama,romance",6.2,movie,13+ (PG-13),200,https://reelgood.com/movie/green-card-1990,64,,Green Card,HBO Max,,1990
"action-and-adventure,comedy,drama,family,sport",6.1,movie,7+ (PG),200,https://reelgood.com/movie/d2-the-mighty-ducks-1994,64,,D2: The Mighty Ducks,HBO Max,,1994
"drama,musical",6.8,movie,18+ (R),200,https://reelgood.com/movie/smithereens-1982,64,,Smithereens,HBO Max,,1982
"comedy,romance,mystery,thriller,crime",6.7,movie,7+ (PG),200,https://reelgood.com/movie/the-front-page-1931,64,,The Front Page,HBO Max,,1931
drama,6.8,movie,18+ (R),200,https://reelgood.com/movie/querelle-1982,64,,Querelle,HBO Max,,1982
"animation,action-and-adventure,comedy,family,fantasy,science-fiction",5.7,movie,7+ (PG),200,https://reelgood.com/movie/looney-tunes-back-in-action-2003,64,,Looney Tunes: Back in Action,HBO Max,,2003
"mystery,crime,comedy,family,drama,animation",5.7,movie,7+ (PG),200,https://reelgood.com/movie/nancy-drew-and-the-hidden-staircase-2019,64,,Nancy Drew and the Hidden Staircase,HBO Max,,2019
"drama,sport,action-and-adventure,family",6.9,movie,7+ (PG),200,https://reelgood.com/movie/the-champ-1979,64,,The Champ,HBO Max,,1979
"animation,action-and-adventure,comedy,family,fantasy,science-fiction",7,movie,13+ (PG-13),200,https://reelgood.com/movie/justice-league-vs-teen-titans-2016,64,,Justice League vs. Teen Titans,HBO Max,,2016
documentary,6.6,movie,18+ (R),200,https://reelgood.com/movie/say-her-name-the-life-and-death-of-sandra-bland-2018,64,,Say Her Name: The Life and Death of Sandra Bland,HBO Max,,2018
"drama,romance",6.3,movie,7+ (PG),200,https://reelgood.com/movie/and-god-created-woman-1956,64,,...And God Created Woman,HBO Max,,1956
"animation,action-and-adventure,comedy,family,science-fiction",5.7,show,7+ (TV-PG),200,https://reelgood.com/show/ben-10-omniverse-2012,64,8,Ben 10: Omniverse,HBO Max,2014,2012
"animation,comedy,drama",7.2,show,18+ (TV-MA),200,https://reelgood.com/show/animals-2016,64,3,Animals.,HBO Max,2018,2016
"animation,children,comedy,action-and-adventure,family,fantasy,science-fiction",7.6,show,7+ (TV-PG),200,https://reelgood.com/show/fosters-home-for-imaginary-friends-2004,64,6,Foster's Home for Imaginary Friends,HBO Max,2009,2004
"drama,thriller,mystery",6.4,movie,18+ (R),200,https://reelgood.com/movie/the-good-son-1993,64,,The Good Son,HBO Max,,1993
comedy,7.4,show,18+ (TV-MA),200,https://reelgood.com/show/hello-ladies-2013,64,1,Hello Ladies,HBO Max,2013,2013
"comedy,lgbtq,drama",7.2,movie,18+ (R),200,https://reelgood.com/movie/imaginary-heroes-2004,64,,Imaginary Heroes,HBO Max,,2004
"mystery,drama,fantasy",6,show,14+ (TV-14),200,https://reelgood.com/show/nancy-drew-2019,64,1,Nancy Drew,HBO Max,2020,2019
"animation,action-and-adventure,science-fiction,fantasy,family",7.3,movie,13+ (PG-13),200,https://reelgood.com/movie/justice-league-crisis-on-two-earths-2010,64,,Justice League: Crisis on Two Earths,HBO Max,,2010
"biography,drama,history",6.3,movie,18+ (R),200,https://reelgood.com/movie/the-immortal-life-of-henrietta-lacks-2017,64,,The Immortal Life of Henrietta Lacks,HBO Max,,2017
"action-and-adventure,fantasy,horror,science-fiction",6.4,movie,All (G),200,https://reelgood.com/movie/godzilla-vs-mechagodzilla-1974,64,,Godzilla vs. Mechagodzilla,HBO Max,,1974
"action-and-adventure,animation,drama,science-fiction",7.3,show,7+ (TV-PG),200,https://reelgood.com/show/beware-the-batman-2013,64,1,Beware the Batman,HBO Max,2014,2013
"documentary,sport,crime,drama",8.1,movie,13+ (PG-13),200,https://reelgood.com/movie/at-the-heart-of-gold-inside-the-usa-gymnastics-scandal-2019,64,,At the Heart of Gold: Inside the USA Gymnastics Scandal,HBO Max,,2019
"animation,comedy,family,action-and-adventure,children",7.2,show,7+ (TV-PG),200,https://reelgood.com/show/the-looney-tunes-show-2011,64,4,The Looney Tunes Show,HBO Max,2014,2011
"comedy,horror,science-fiction,thriller,mystery",5.9,movie,18+ (R),200,https://reelgood.com/movie/piranha-1978,64,,Piranha,HBO Max,,1978
"comedy,drama",6.4,show,18+ (TV-MA),200,https://reelgood.com/show/betty-2020,64,1,Betty,HBO Max,2020,2020
"horror,drama,mystery,thriller",5.8,movie,18+ (R),200,https://reelgood.com/movie/childs-play-2-1990,64,,Child's Play 2,HBO Max,,1990
"action-and-adventure,science-fiction,horror,thriller,mystery",5.6,movie,13+ (PG-13),200,https://reelgood.com/movie/avp-alien-vs-predator-2004,64,,AVP: Alien vs. Predator,HBO Max,,2004
drama,5.8,movie,16+,200,https://reelgood.com/movie/icebox-2018,64,,Icebox,HBO Max,,2018
"drama,action-and-adventure,thriller,crime",8.8,show,18+ (TV-MA),200,https://reelgood.com/show/golden-life-2015,64,3,Golden Life,HBO Max,2018,2015
"biography,drama",8.2,movie,7+ (PG),200,https://reelgood.com/movie/something-the-lord-made-2004,64,,Something the Lord Made,HBO Max,,2004
"animation,action-and-adventure,comedy,crime,family,fantasy,science-fiction",6.3,movie,7+ (PG),200,https://reelgood.com/movie/osmosis-jones-2001,64,,Osmosis Jones,HBO Max,,2001
drama,7.4,movie,18+ (R),200,https://reelgood.com/movie/the-sunset-limited-2011,62,,The Sunset Limited,HBO Max,,2011
"action-and-adventure,comedy,romance,family",5.8,movie,7+ (PG),200,https://reelgood.com/movie/monte-carlo-2011,63,,Monte Carlo,HBO Max,,2011
"drama,romance",6.3,movie,13+ (PG-13),200,https://reelgood.com/movie/the-aftermath-2019,63,,The Aftermath,HBO Max,,2019
"horror,thriller,fantasy,mystery",5.8,movie,18+ (R),200,https://reelgood.com/movie/the-ruins-2008,63,,The Ruins,HBO Max,,2008
"family,science-fiction,drama,action-and-adventure",6.2,movie,7+ (PG),200,https://reelgood.com/movie/the-last-mimzy-2007,63,,The Last Mimzy,HBO Max,,2007
"action-and-adventure,comedy,drama,family,fantasy",5.7,movie,All (G),200,https://reelgood.com/movie/babe-pig-in-the-city-1998,63,,Babe: Pig in the City,HBO Max,,1998
"comedy,action-and-adventure,crime",6.2,movie,18+ (R),200,https://reelgood.com/movie/money-talks-1997,63,,Money Talks,HBO Max,,1997
"comedy,drama,romance",6.7,movie,7+ (PG),200,https://reelgood.com/movie/cannery-row-1982,63,,Cannery Row,HBO Max,,1982
"drama,romance",6.9,movie,18+ (R),200,https://reelgood.com/movie/shoot-the-moon-1982,63,,Shoot the Moon,HBO Max,,1982
"action-and-adventure,animation,comedy,drama,family,science-fiction",7.8,show,7+ (TV-PG),200,https://reelgood.com/show/jonny-quest-1964,63,2,Jonny Quest,HBO Max,2017,1964
comedy,6.2,movie,7+ (PG),200,https://reelgood.com/movie/the-big-year-2011,63,,The Big Year,HBO Max,,2011
"comedy,musical",5.4,movie,13+ (PG-13),200,https://reelgood.com/movie/josie-and-the-pussycats-2001,63,,Josie and the Pussycats,HBO Max,,2001
"comedy,romance",6.1,movie,13+ (PG-13),200,https://reelgood.com/movie/someone-like-you-2001,63,,Someone Like You...,HBO Max,,2001
"romance,drama,musical",5.8,movie,13+ (PG-13),200,https://reelgood.com/movie/the-sun-is-also-a-star-2019,63,,The Sun Is Also a Star,HBO Max,,2019
horror,5.5,movie,18+ (R),200,https://reelgood.com/movie/friday-the-13th-2009,63,,Friday the 13th,HBO Max,,2009
"animation,comedy,science-fiction,action-and-adventure,family,fantasy",7.4,movie,7+ (PG),200,https://reelgood.com/movie/regular-show-the-movie-2015,63,,Regular Show: The Movie,HBO Max,,2015
"documentary,crime",6.4,movie,18+ (R),200,https://reelgood.com/movie/thought-crimes-2015,63,,Thought Crimes,HBO Max,,2015
"animation,anime,drama,romance",6.7,movie,7+ (PG),200,https://reelgood.com/movie/ocean-waves-1993,63,,Ocean Waves,HBO Max,,1993
drama,6.4,movie,7+ (PG),200,https://reelgood.com/movie/voyage-of-the-damned-1976,63,,Voyage of the Damned,HBO Max,,1976
"action & adventure,comedy",5.8,movie,13+ (PG-13),200,https://reelgood.com/movie/wild-hogs-2007,63,,Wild Hogs,HBO Max,,2007
documentary,6.8,movie,16+,200,https://reelgood.com/movie/suited-2016,63,,Suited,HBO Max,,2016
"action-and-adventure,comedy,mystery,family,fantasy",5.1,movie,7+ (PG),200,https://reelgood.com/movie/scooby-doo-2002,63,,Scooby-Doo,HBO Max,,2002
"action-and-adventure,fantasy,mystery,thriller",5.6,movie,13+ (PG-13),200,https://reelgood.com/movie/lara-croft-tomb-raider-the-cradle-of-life-2003,63,,Lara Croft: Tomb Raider - The Cradle of Life,HBO Max,,2003
"comedy,family,romance",5.9,movie,7+ (PG),200,https://reelgood.com/movie/a-cinderella-story-2004,63,,A Cinderella Story,HBO Max,,2004
"crime,drama",6.2,movie,18+ (R),200,https://reelgood.com/movie/belly-1998,63,,Belly,HBO Max,,1998
"comedy,drama",6.1,movie,13+ (PG-13),200,https://reelgood.com/movie/edtv-1999,63,,Edtv,HBO Max,,1999
"comedy,crime,family,mystery,romance,thriller,action-and-adventure",5.9,movie,7+ (PG),200,https://reelgood.com/movie/nancy-drew-2007,63,,Nancy Drew,HBO Max,,2007
